,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0
mean,0.5434914176679442,0.46114901264024966,0.3056860438330965,0.35702718409200945,0.3083733082094722,0.8852881484145625,0.8650764540175482,0.010513012828008386
std,0.6335196626382299,0.7869793720573502,0.29041159930099736,0.14773564325453548,0.1144566154593189,0.22972504499224256,0.12140167031893939,0.015691344125259795
min,0.0,0.0,0.0,0.0,0.0,-0.565824031829834,0.3226065635681152,0.0
25%,0.2592592592592592,0.2,7.873632526777866e-155,0.31406400995866374,0.2850591960746056,0.9150795638561249,0.7996858656406403,0.00211256742477415
50%,0.4375,0.3478260869565217,0.2872797668292002,0.3564290647623979,0.315095837449107,0.9691236615180968,0.907974123954773,0.0061108469963073
75%,0.7,0.5277777777777778,0.5381607389335188,0.41235224211414667,0.35230296055779425,0.987957239151001,0.9582875669002534,0.013101726770400949
max,18.5,24.0,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.2915903329849243
