,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0
mean,0.477203771448589,0.3345819940119903,0.3525682244340962,0.3833458900344517,0.32523205320969634,0.8673308296179156,0.9117804929860974,0.007306393838174301
std,0.43362299000807686,0.2930703373206088,0.3090870143451342,0.18411400143869533,0.15132870472602467,0.2677488893089298,0.0873028885245508,0.009140041394855547
min,0.0,0.0,0.0,0.0,0.0,-0.5513814687728882,0.4312559962272644,0.0
25%,0.2272727272727272,0.1521739130434782,1.4916681462400622e-154,0.3220738795456838,0.2898271112121057,0.9198235273361206,0.8828529715538025,0.0016409158706665
50%,0.3703703703703703,0.2647058823529412,0.3716338348917944,0.3729616874353715,0.3222434490501716,0.975208818912506,0.941259503364563,0.0045489072799682
75%,0.6,0.4347826086956521,0.5908871032231056,0.4468153759820423,0.3709587167791501,0.9901458024978638,0.971283793449402,0.0097327232360839
max,7.0,3.6666666666666665,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.1523679494857788
