,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3181.0,3181.0,3181.0,3181.0,3181.0,3181.0,3181.0,3181.0
mean,0.8928944768953767,0.7838336980099565,0.19864854820681774,0.3078504370856138,0.2689228194338728,0.7166851318512476,0.7986856605067114,0.014482360015834318
std,2.366585510998649,1.6678134226991037,0.2695612649853224,0.18656911160777556,0.15533293032031462,0.3801120908478002,0.15788977788265487,0.02000465982782021
min,0.0,0.0,0.0,0.0,0.0,-0.6712109446525574,0.1135457307100296,0.0
25%,0.3571428571428571,0.282051282051282,1.0003688322288244e-231,0.2287393162393162,0.2311840779333038,0.5504738092422485,0.6948559284210205,0.0029276013374328
50%,0.6363636363636364,0.4897959183673469,2.8498453514942967e-78,0.3378206978206978,0.3026402895394474,0.93218994140625,0.8305480480194092,0.0084728002548217
75%,1.0,0.8571428571428571,0.4029883231412915,0.4022436359936358,0.3450897250897249,0.9801679253578186,0.936212956905365,0.0191680192947387
max,112.0,56.0,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.3968768119812011
