,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0
mean,0.3966399257250191,0.28547270459689406,0.4191554725536859,0.3891962167843576,0.330776879266356,0.9369937897240957,0.9299375434867935,0.007091710042542298
std,0.30880620489508115,0.23107393584081415,0.28407620217183494,0.14764222635019192,0.11212289580217899,0.15775592831296975,0.0690072046485939,0.008441736239763162
min,0.0,0.0,0.0,0.0,0.0,-0.5175696611404419,0.380772054195404,0.0
25%,0.2105263157894736,0.1379310344827586,0.22085900679480613,0.3272638860322683,0.2939539160506014,0.9571362733840942,0.9094480574131012,0.00169610977172845
50%,0.3333333333333333,0.2352941176470588,0.4421973227177667,0.3682456024367788,0.3216689796350461,0.980760395526886,0.951149046421051,0.0044777393341064
75%,0.5,0.375,0.6272517339014033,0.4312850161534372,0.36123877499910545,0.9912567138671875,0.9742766320705414,0.009502589702606149
max,4.5,3.6666666666666665,1.0,1.0,1.0,1.0000003576278689,1.000000238418579,0.0857893228530883
