,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2212.0,2212.0,2212.0,2212.0,2212.0,2212.0,2212.0,2212.0
mean,0.46414304983488347,0.3919785157377405,0.404886168484935,0.40489170926711415,0.3334445788170952,0.8775379216209203,0.8820861754416881,0.024071552735125137
std,0.46535286370723583,0.3553463987338244,0.3506620122771884,0.21506495055921812,0.17438623970145953,0.23450745519575397,0.1419499097761045,0.030954557768251983
min,0.0,0.0,0.0,0.0,0.0,-0.5844628810882568,0.2255764752626419,0.0
25%,0.1666666666666666,0.125,4.427130897175442e-81,0.33384252262609093,0.29096276544162825,0.8836930096149445,0.8287920206785202,0.0040780305862425995
50%,0.3684210526315789,0.3086080586080586,0.4492659382133935,0.39070650154833825,0.33063247669324985,0.9764863550662994,0.9440767168998718,0.012049704790115301
75%,0.6704545454545454,0.6153846153846154,0.709429077840704,0.47739898989898993,0.3861332820269888,0.9944947957992553,0.9838860780000687,0.035991758108139024
max,9.428571428571429,7.333333333333333,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.2961549162864685
