,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2228.0,2228.0,2228.0,2228.0,2228.0,2228.0,2228.0,2228.0
mean,0.33829844086558086,0.274570188440296,0.454364697255751,0.4128053031862979,0.3452031837242293,0.9080272926347033,0.9257014830809093,0.010105003280100278
std,0.3263500726023772,0.25252164856659115,0.33836315005550277,0.19836689755289233,0.16294319276506875,0.21593781998041242,0.10199165326190947,0.01693422354406475
min,0.0,0.0,0.0,0.0,0.0,-0.3702914118766784,0.3136750757694244,0.0
25%,0.1333333333333333,0.0981607357057177,7.380245217279165e-78,0.3312757361460923,0.29364071685351617,0.9525674432516099,0.9140153676271439,0.0010185837745666
50%,0.2666666666666666,0.2142857142857142,0.5040135363635135,0.3857059175106131,0.3286958938398715,0.984351634979248,0.9602987170219421,0.004553318023681601
75%,0.4545454545454545,0.37948275862068964,0.7177930213637964,0.4709208919735235,0.3808853656078545,0.9951819330453873,0.9848724007606506,0.011847063899040174
max,5.0,2.0,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.2534593343734741
