,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4989.0,4989.0,4989.0,4989.0,4989.0,4989.0,4989.0,4989.0
mean,0.23173546679505924,0.18358559427653234,0.6258038035517508,0.4090255107795438,0.34196085398784054,0.9560282911248856,0.9549839215793311,0.006630163783897077
std,0.3046688620761906,0.22935892057352575,0.3311924541649335,0.16132903771176502,0.12452850746399127,0.14422308857119387,0.0717022772187705,0.009687627916469271
min,0.0,0.0,0.0,0.0,0.0,-0.2629762887954712,0.3252229392528534,0.0
25%,0.0571428571428571,0.0384615384615384,0.4436260887401707,0.3406604198270864,0.29907966262133,0.9787168502807616,0.9512985944747924,7.915496826171875e-05
50%,0.1428571428571428,0.1176470588235294,0.7224553130054806,0.3821029169243454,0.3283063464313464,0.9942964911460876,0.98397034406662,0.0027976036071777
75%,0.3,0.2558139534883721,0.880771385653411,0.4542857142857144,0.3728347453405362,0.998738169670105,0.9954054355621338,0.0089383125305175
max,7.0,6.5,1.0,1.0,1.0,1.0000003576278689,1.0000004768371582,0.1364060044288635
