,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3156.0,3156.0,3156.0,3156.0,3156.0,3156.0,3156.0,3156.0
mean,0.43678756731682356,0.3382250295090582,0.38541761446579886,0.40441768662240063,0.33593148324415134,0.8703574996296416,0.9125829666560216,0.011409184797483967
std,0.48726325308620594,0.3375684672832145,0.3390392029138226,0.21918874092283402,0.17403025060223337,0.2659042468971894,0.11298223852455214,0.017122705251872483
min,0.0,0.0,0.0,0.0,0.0,-0.742988109588623,0.2321024090051651,0.0
25%,0.1724137931034483,0.125,1.4916681462400622e-154,0.3221727526803078,0.28802403319847836,0.917398989200592,0.8971710652112961,0.001730009913444475
50%,0.3333333333333333,0.25,0.41248168890815756,0.3789324255990921,0.3262879317169437,0.979019433259964,0.9513479769229888,0.006266891956329301
75%,0.5555555555555556,0.4444444444444444,0.6514918857852852,0.47285353535353536,0.3824362318264576,0.99320088326931,0.9803905338048936,0.014729350805282551
max,7.0,3.5,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.2587155699729919
