,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4991.0,4991.0,4991.0,4991.0,4991.0,4991.0,4991.0,4991.0
mean,0.2357859454937918,0.1875767402733671,0.6223482686006092,0.40907628895261416,0.34205390353444004,0.9546792008037964,0.955413351356804,0.00648017446494629
std,0.3147041181551934,0.24643858086239068,0.331965105944726,0.16151791745159336,0.1249016327165941,0.1460966746530899,0.07094743581960616,0.009455571979483601
min,0.0,0.0,0.0,0.0,0.0,-0.2629762887954712,0.3252229392528534,0.0
25%,0.0588235294117647,0.04,0.4347208719449914,0.3406390016509063,0.2990682791267093,0.9779301881790161,0.9521925449371338,8.600950241088867e-05
50%,0.1428571428571428,0.1176470588235294,0.7197795533614759,0.3820882398913615,0.3282920551670565,0.994191348552704,0.9841150045394896,0.0026830434799194
75%,0.3,0.2589399744572158,0.8787419089273848,0.45453421749718037,0.3728389697676423,0.998720109462738,0.9954321384429932,0.008790910243987999
max,7.0,6.5,1.0,1.0,1.0,1.0000003576278689,1.0000004768371582,0.1364060044288635
