,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0
mean,0.37278977596188223,0.30539762954508615,0.5080182469087304,0.4023628588309405,0.33464122685070047,0.937963111637164,0.9225288402536506,0.018867142447523376
std,0.3454974392319617,0.28528916217551303,0.3092007238405358,0.1761010597664365,0.13583253746389876,0.14729304593345244,0.11710403800008208,0.0274320536004819
min,0.0,0.0,0.0,0.0,0.0,-0.4839316010475158,0.2255764752626419,0.0
25%,0.1428571428571428,0.0952380952380952,0.2778507589582912,0.3378662190468823,0.29688546310941927,0.954889565706253,0.9180798977613448,0.003599256277084325
50%,0.2600644122383252,0.2058823529411764,0.5923033072023249,0.3805535159086447,0.3277205024369947,0.986501842737198,0.9712744355201721,0.009020835161209051
75%,0.5,0.4285714285714285,0.7588307923045049,0.45325176366843034,0.37156180515845433,0.9949230849742889,0.9878745079040527,0.0213384330272674
max,5.75,4.416666666666667,1.0,1.0,1.0,1.0000001192092896,1.0000001192092896,0.3509677052497864
