,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0
mean,0.6958464023216983,0.6116524492416443,0.2464455406208703,0.3334005816107444,0.289447865398447,0.7832836676428601,0.8286915225028137,0.01137362370510242
std,0.866278425592002,1.0448934495667783,0.2886825445537044,0.17252108400203275,0.14145541525343353,0.3388635078396432,0.14473787597187848,0.015843609753601096
min,0.0,0.0,0.0,0.0,0.0,-0.5984982252120972,0.2977674007415771,0.0
25%,0.3,0.2333333333333333,1.2882297539194156e-231,0.2886730553397219,0.271067451067451,0.7837129831314087,0.755342960357666,0.0022523999214172
50%,0.5263157894736842,0.4,8.636168555094496e-78,0.3538367927759373,0.3121643114777779,0.9534136056900024,0.8686280250549316,0.0064510703086853
75%,0.875,0.6666666666666666,0.4900516185145093,0.4153846153846154,0.3519860139860139,0.984840989112854,0.9479901790618896,0.0144849419593811
max,21.0,24.0,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.2232171297073364
