,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3163.0,3163.0,3163.0,3163.0,3163.0,3163.0,3163.0,3163.0
mean,0.45134461051500274,0.35225481432333455,0.3850168904568267,0.40319523196287727,0.335138175474502,0.8659297599357977,0.9132183567749486,0.011352436624672264
std,0.5233534596553229,0.39676434293930807,0.33894386152322237,0.218582927290214,0.17357911302816512,0.2699041129467383,0.11262976760653202,0.017029359673922044
min,0.0,0.0,0.0,0.0,0.0,-0.590123176574707,0.2714233100414276,0.0
25%,0.1739130434782608,0.125,1.4916681462400622e-154,0.3216943806264947,0.2877517328150657,0.9138430953025818,0.8997372090816498,0.0017044246196746
50%,0.3333333333333333,0.2553191489361702,0.4111336169005197,0.3786552920763448,0.3260519083121686,0.9781893491744996,0.9522277116775512,0.0062198638916015
75%,0.5714285714285714,0.45,0.6487098279576214,0.4709766173675949,0.3823214087499801,0.9929161369800568,0.980441153049469,0.01456803083419795
max,8.0,7.5,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.2587155699729919
