,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0
mean,0.4277660613238393,0.30481091855442655,0.46207063382867747,0.40206588060869425,0.331546529522922,0.8528197750794766,0.9198682640614749,0.008161498934217934
std,0.7279592468679359,0.483754191426659,0.3882243671412803,0.2235330145209676,0.17866083302879043,0.3035585996795941,0.11100378286151638,0.013491762926948056
min,0.0,0.0,0.0,0.0,0.0,-0.5565075874328613,0.2482822835445404,0.0
25%,0.0833333333333333,0.0588235294117647,1.133422688662942e-154,0.329699429696967,0.2894181482285811,0.9213309884071351,0.8788810521364212,0.0
50%,0.2240143369175627,0.1818181818181818,0.5374926525631669,0.3878251222461748,0.32860771018692236,0.9889949262142181,0.9700572788715363,0.00361642241477965
75%,0.5,0.3809523809523809,0.8153447646195999,0.4779076479076479,0.3889379772767094,0.9985269606113434,0.9926867932081223,0.0107702016830444
max,18.33333333333333,10.125,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.2695735692977905
