,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9903.0,9903.0,9903.0,9903.0,9903.0,9903.0,9903.0,9903.0
mean,0.48871732099796744,0.3714519277131749,0.4035370012598493,0.40919484815554247,0.3390799288211578,0.8745048988490975,0.914828014871237,0.0175639102823214
std,0.5283287604542638,0.3662577382391103,0.33096576778509357,0.2118298102856612,0.17126384870477343,0.2519213137514926,0.11593889518054168,0.022769698122019306
min,0.0,0.0,0.0,0.0,0.0,-0.6621638536453247,0.2088155895471573,0.0
25%,0.1818181818181818,0.1363636363636363,1.133422688662942e-154,0.3348190400868972,0.29387890925887816,0.9017474055290222,0.899492472410202,0.0053425729274749
50%,0.3333333333333333,0.25,0.4812244990556762,0.3893572363718317,0.3315771617637558,0.9816070795059204,0.9645310640335084,0.0103935599327087
75%,0.6666666666666666,0.5,0.6973735947503076,0.47828001668661013,0.3877947694763131,0.9941720366477966,0.985174685716629,0.020637631416320752
max,11.0,8.0,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.3574439883232116
