,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9933.0,9933.0,9933.0,9933.0,9933.0,9933.0,9933.0,9933.0
mean,0.7776310929949932,0.671050875781978,0.23207915220662503,0.32455876144116963,0.2806965783923415,0.7582389098016132,0.8182860335458336,0.013028320506009527
std,1.5350562986014404,1.2977045303578687,0.28256387189909177,0.18336816727929145,0.14767190398389868,0.3585261051254419,0.1516413186821369,0.01785733721046853
min,0.0,0.0,0.0,0.0,0.0,-0.6929251551628113,0.1135457307100296,0.0
25%,0.3125,0.25,1.1640469867513693e-231,0.2760062771997979,0.2584427268637794,0.7018921971321106,0.7324143052101135,0.0028465986251831
50%,0.5714285714285714,0.45,4.856474469839071e-78,0.3457233044733044,0.3077564472872862,0.9468555450439452,0.8534618616104126,0.007828950881958
75%,1.0,0.7674418604651163,0.4634342976683905,0.4098901098901099,0.3509437304317544,0.9843640327453612,0.9471906423568726,0.0165042281150817
max,112.0,76.0,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.3968768119812011
