,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0
mean,0.20640273017136015,0.1601181449432519,0.6505371732054163,0.416711177921452,0.34834447867131346,0.9696202780838502,0.9694782973100744,0.005793741740419277
std,0.2668470431915848,0.2143469345652456,0.2975823612237069,0.15987052443150784,0.1230286160529784,0.11290588955832195,0.049204964946090314,0.008572146365803165
min,0.0,0.0,0.0,0.0,0.0,-0.5206834077835083,0.3318697810173034,0.0
25%,0.0625,0.0416666666666666,0.528384202010086,0.34154790772724475,0.30057599949889635,0.9843463897705078,0.9663485586643219,0.00040090084075920004
50%,0.1428571428571428,0.1052631578947368,0.7203362668653466,0.3841327561327561,0.3295781928276097,0.9941632747650146,0.9848686456680298,0.0025850534439086
75%,0.2608695652173913,0.21778656126482204,0.8633400213704505,0.45300895249874834,0.37223484058087386,0.998468816280365,0.9948194622993469,0.007834374904632499
max,6.0,8.0,1.0,1.0,1.0,1.000000238418579,1.0000004768371582,0.1618828177452087
