,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5181.0,5181.0,5181.0,5181.0,5181.0,5181.0,5181.0,5181.0
mean,0.34384921595999923,0.26496863454546793,0.46628473483463,0.40524108931890945,0.3383097047000821,0.9128515038565966,0.9351092043115788,0.008270444107939168
std,0.3872565669320903,0.2772460042126189,0.33818729991289187,0.2003547398463351,0.15825703064234276,0.21270481524391624,0.08892047991863887,0.01392433823567641
min,0.0,0.0,0.0,0.0,0.0,-0.5270394086837769,0.2714233100414276,0.0
25%,0.125,0.0869565217391304,1.2213386697554703e-77,0.3269023029439695,0.2914901400565318,0.9559627771377563,0.9236713647842408,0.0008877515792846
50%,0.2580645161290322,0.2,0.5169731539571706,0.3761278844612176,0.3257072642390303,0.9847184419631958,0.9635136127471924,0.0039487481117248
75%,0.44,0.3571428571428571,0.7342150184891979,0.4563584563584563,0.374875750815601,0.9951417446136476,0.9865411520004272,0.0101014375686645
max,7.0,3.5,1.0,1.0,1.0,1.000000238418579,1.0000004768371582,0.2587155699729919
