,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0
mean,0.6360217943157732,0.4920686199148383,0.25169950870772856,0.3347336424426217,0.29077684974247675,0.7909101804741501,0.8322377655629918,0.010463529246655282
std,0.6031195803640922,0.49238313961301533,0.29193653518189916,0.17092518510956323,0.14042824475910856,0.33102381994206,0.14004831725490394,0.012821018439188103
min,0.0,0.0,0.0,0.0,0.0,-0.5279398560523987,0.3108882904052734,0.0
25%,0.3,0.2272727272727272,1.2882297539194156e-231,0.29067655453905283,0.2727588538857993,0.7962312400341034,0.7595259547233582,0.002248466014862
50%,0.5,0.4,0.1075490607164011,0.3543026591154933,0.3124260152159931,0.95456200838089,0.8692227005958557,0.0063551664352416
75%,0.8333333333333334,0.6363636363636364,0.4977462132169007,0.4162252033680604,0.35228524435337794,0.9850305914878845,0.948017805814743,0.0140862166881561
max,14.5,10.5,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.1500822305679321
