,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3182.0,3182.0,3182.0,3182.0,3182.0,3182.0,3182.0,3182.0
mean,0.38765591092438034,0.2577450554906543,0.4876463775137928,0.418677262115008,0.3435656247348748,0.8834565743419975,0.9425938269445389,0.007374182558898839
std,0.5729172957993475,0.34035899359046246,0.3699971368250455,0.21866257978150147,0.17008346772733887,0.2636482119177033,0.08362942958287323,0.009790564422575258
min,0.0,0.0,0.0,0.0,0.0,-0.6236554980278015,0.4273576736450195,0.0
25%,0.09375,0.0652173913043478,5.021333847570327e-78,0.33720675090160385,0.2945074709218847,0.9458521902561188,0.9319363683462142,0.000553339719772275
50%,0.2121212121212121,0.16,0.5877562071484246,0.39313338667505326,0.3325448522104566,0.9899678230285645,0.9758386015892029,0.00413444638252255
75%,0.47291021671826616,0.3333333333333333,0.793586154772511,0.4816257816257816,0.392630503177378,0.99790458381176,0.9921354055404664,0.01028515398502345
max,11.0,8.0,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.1133891940116882
