,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3185.0,3185.0,3185.0,3185.0,3185.0,3185.0,3185.0,3185.0
mean,0.45135618476640255,0.32841164060603056,0.4581815612008634,0.40203621039328746,0.3313847020161573,0.8484074403600566,0.9206996952345832,0.00801126090473429
std,0.7884924451918375,0.5841153361099075,0.38806490600734317,0.22298234182355212,0.17781530806647783,0.3064022177246353,0.11008667291539773,0.013010016066324608
min,0.0,0.0,0.0,0.0,0.0,-0.5565075874328613,0.2527000308036804,0.0
25%,0.0833333333333333,0.0625,1.0547686614863434e-154,0.3293515117063878,0.2893503744198202,0.915166676044464,0.8819668292999268,0.0
50%,0.2272727272727272,0.1851851851851851,0.537284965911771,0.3879401848151849,0.3285819854536429,0.9885069727897644,0.9703335762023926,0.0036740899085998
75%,0.5185185185185185,0.3793103448275862,0.8109445580753176,0.4777918323506559,0.3886103035819646,0.9984725713729858,0.9927572011947632,0.0108366012573242
max,18.666666666666668,10.125,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.2695735692977905
