,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4955.0,4955.0,4955.0,4955.0,4955.0,4955.0,4955.0,4955.0
mean,0.2888200481939236,0.2378552456200107,0.5211429214746693,0.39940289820293284,0.33714794672051507,0.9537364879467052,0.9432227031103176,0.00848843774689671
std,0.22972845404574518,0.20052461731334487,0.2986966366302895,0.1545481038810286,0.1179422130668461,0.13560164053505103,0.07648001942932975,0.013976983703366938
min,0.0,0.0,0.0,0.0,0.0,-0.6496042609214783,0.2321024090051651,0.0
25%,0.1333333333333333,0.0952380952380952,0.3453155548318878,0.3306087226265796,0.29526093053637165,0.9688793420791626,0.9329617321491241,0.0012382864952087
50%,0.25,0.1935483870967742,0.5646796798056438,0.3718376861234004,0.3233075186953345,0.9866544008255004,0.965477705001831,0.0043615698814392
75%,0.3946441155743481,0.3333333333333333,0.736772792554363,0.4378188260541201,0.36307615271549576,0.9947933256626129,0.9853793978691102,0.010625302791595449
max,2.0,1.7777777777777777,1.0,1.0,1.0,1.000000238418579,1.0000004768371582,0.2534593343734741
