,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9897.0,9897.0,9897.0,9897.0,9897.0,9897.0,9897.0,9897.0
mean,0.48381172236744313,0.3673258698851866,0.4040290389213863,0.40948851479851267,0.3392279419474873,0.8752779228293495,0.9143323063582401,0.017489399719180416
std,0.5245713868399676,0.3514907740104219,0.33135583428170035,0.21201384660545206,0.1713972825779834,0.2513753494998781,0.11672694654790952,0.022640237406451786
min,0.0,0.0,0.0,0.0,0.0,-0.6621638536453247,0.2088155895471573,0.0
25%,0.1818181818181818,0.1363636363636363,1.133422688662942e-154,0.3348669141316199,0.2938340782631448,0.9030389785766602,0.8990888595581055,0.0052204132080078
50%,0.3333333333333333,0.25,0.4823577705301293,0.3893572363718317,0.3314672506429468,0.9819344282150269,0.9643616676330566,0.0103018879890441
75%,0.6666666666666666,0.5,0.6978429290017016,0.4787878787878789,0.3880362897369703,0.9942532181739808,0.9851791262626648,0.0206170678138732
max,11.0,7.333333333333333,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.3574439883232116
