,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,37124.0,37124.0,37124.0,37124.0,37124.0,37124.0,37124.0,37124.0
mean,0.3735914897943649,0.25528150663620675,0.3425478832161411,0.4122101423132369,0.3331086908370505,0.7924596921767281,0.9197601735063661,0.005457166622083437
std,0.47412931268716924,0.31947255401524927,0.40473837695168313,0.2996266583722019,0.24785166912184473,0.36029053272211425,0.10734864768613285,0.00985351185311098
min,0.0,0.0,0.0,0.0,0.0,-0.7097079753875732,0.2482822835445404,0.0
25%,0.0,0.0,1.8218319894453417e-231,0.2698051948051948,0.2449987627220951,0.8056419044733047,0.8737585544586182,0.0
50%,0.21103238866396756,0.1578947368421052,7.380245217279165e-78,0.40205783105783105,0.33244465934362794,0.9899584650993348,0.9699935913085938,0.0008188486099243
75%,0.5454545454545454,0.4,0.7506238537503395,0.5769230769230769,0.4230006105006105,0.9999999403953552,0.9999998211860656,0.0071961581707000255
max,18.33333333333333,10.125,1.0,1.0,1.0,1.0000003576278689,1.0000004768371582,0.2695735692977905
