,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,35762.0,35762.0,35762.0,35762.0,35762.0,35762.0,35762.0,35762.0
mean,0.3066447152136293,0.22509943120380765,0.3355082931007608,0.458726656956658,0.36969798617838096,0.8423830372368927,0.9330480666382689,0.006375589069587553
std,0.3651679187662579,0.26075961463370073,0.3794325526344246,0.2962284254141655,0.24508016131451174,0.3105297690610188,0.09720867385217191,0.011478903795892169
min,0.0,0.0,0.0,0.0,0.0,-0.742988109588623,0.2321024090051651,0.0
25%,0.0,0.0,1.0547686614863434e-154,0.3241842023593358,0.2861353311720959,0.8937289267778397,0.9137727916240692,0.0
50%,0.2285714285714285,0.1666666666666666,1.2213386697554703e-77,0.4226147186147186,0.3439960503355437,0.9851847589015961,0.9678566455841064,0.0018374621868133
75%,0.5,0.3333333333333333,0.6606328636027614,0.5909090909090909,0.4485786435786435,0.9999999403953552,0.9999998807907104,0.0082377791404724
max,7.0,5.0,1.0,1.0,1.0,1.000000238418579,1.0000004768371582,0.2587155699729919
