,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,36190.0,36190.0,36190.0,36190.0,36190.0,36190.0,36190.0,36190.0
mean,0.8182858518906121,0.6102288218850117,0.1327042476045222,0.2792451355334142,0.23952688368740946,0.5935382444803706,0.7803611325016171,0.011301807948455284
std,1.2071812157897786,1.0349482562147658,0.24824798170179158,0.24178620820580113,0.20162086983599514,0.423128660323715,0.1494322566699743,0.015327792096305437
min,0.0,0.0,0.0,0.0,0.0,-0.7928153276443481,0.1135457307100296,0.0
25%,0.4285714285714285,0.3,0.0,0.0,0.0,0.13001835346221918,0.6713321357965469,0.00183472037315365
50%,0.75,0.5,1.4688840424383648e-231,0.3142857142857143,0.28418295492861606,0.7960572242736816,0.7964006066322327,0.006900340318679751
75%,1.0,0.8333333333333334,0.18000257834153216,0.4114635106895168,0.3483782149223325,0.9677149802446365,0.9096493273973464,0.015664353966712875
max,111.0,110.5,1.0,1.0,1.0,1.000000238418579,1.0000003576278689,0.3968768119812011
