,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,37118.0,37118.0,37118.0,37118.0,37118.0,37118.0,37118.0,37118.0
mean,0.29274798397355606,0.19560534381162734,0.37806914804427844,0.45066059799772207,0.36139137734530974,0.8467419405944384,0.9447623733267508,0.004309687142202789
std,0.40875507791613364,0.26445246289936575,0.4109162466372312,0.3002409188181859,0.2469094050760426,0.31348388540926203,0.08544901438100029,0.008239211750421981
min,0.0,0.0,0.0,0.0,0.0,-0.6867603063583374,0.3318697810173034,0.0
25%,0.0,0.0,9.170599044431423e-155,0.3237635713929978,0.2839880863633546,0.9085850715637206,0.9269278198480607,0.0
50%,0.16,0.1052631578947368,1.2213386697554703e-77,0.425,0.3439818861693861,0.9948011338710785,0.9822373986244202,0.00037676095962515003
75%,0.4285714285714285,0.2727272727272727,0.7788007830714049,0.5909090909090909,0.4451754594611735,1.0,0.9999998807907104,0.0056724846363067506
max,11.0,8.0,1.0,1.0,1.0,1.000000238418579,1.0000004768371582,0.1618828177452087
